"filename", "language", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"g:\lapiBackend\controllers\authController.js", "JavaScript", 299, 0, 0, 6, 36, 341
"g:\lapiBackend\controllers\dataController.js", "JavaScript", 35, 0, 0, 3, 8, 46
"g:\lapiBackend\controllers\lapiController.js", "JavaScript", 112, 0, 0, 7, 7, 126
"g:\lapiBackend\docs\swagger.js", "JavaScript", 32, 0, 0, 8, 6, 46
"g:\lapiBackend\docs\swagger.json", "JSON", 0, 595, 0, 0, 0, 595
"g:\lapiBackend\emailTemplates\forgotPass.js", "JavaScript", 464, 0, 0, 0, 2, 466
"g:\lapiBackend\emailTemplates\verify.html", "HTML", 0, 0, 95, 10, 2, 107
"g:\lapiBackend\emailTemplates\verifyMail.js", "JavaScript", 108, 0, 0, 0, 2, 110
"g:\lapiBackend\middleware\adminVerify.js", "JavaScript", 17, 0, 0, 0, 2, 19
"g:\lapiBackend\middleware\authenticateToken.js", "JavaScript", 23, 0, 0, 0, 1, 24
"g:\lapiBackend\middleware\errorHandler.js", "JavaScript", 13, 0, 0, 0, 2, 15
"g:\lapiBackend\models\chatModel.js", "JavaScript", 9, 0, 0, 1, 3, 13
"g:\lapiBackend\models\nvrModel.js", "JavaScript", 35, 0, 0, 0, 3, 38
"g:\lapiBackend\models\userModel.js", "JavaScript", 49, 0, 0, 0, 3, 52
"g:\lapiBackend\package-lock.json", "JSON", 0, 2417, 0, 0, 1, 2418
"g:\lapiBackend\package.json", "JSON", 0, 30, 0, 0, 1, 31
"g:\lapiBackend\routes\authRoute.js", "JavaScript", 17, 0, 0, 0, 4, 21
"g:\lapiBackend\routes\dataRoute.js", "JavaScript", 6, 0, 0, 0, 4, 10
"g:\lapiBackend\routes\lapiRoute.js", "JavaScript", 4, 0, 0, 0, 4, 8
"g:\lapiBackend\server.js", "JavaScript", 88, 0, 0, 3, 18, 109
"g:\lapiBackend\services\websocketMessage.js", "JavaScript", 118, 0, 0, 30, 20, 168
"g:\lapiBackend\utils\mailer.js", "JavaScript", 33, 0, 0, 0, 3, 36
"g:\lapiBackend\utils\tryCatch.js", "JavaScript", 7, 0, 0, 0, 1, 8
"Total", "-", 1469, 3042, 95, 68, 133, 4807
